RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
"",2,2,MODE_DETECTOR_OFF,"","",0,"","","",1,"",1,"",1,"",1,"","","",1,"",1,"","","",1,"",1,"",1,"","","","","","","","","","",""
"",1,0,RX_FRAMING,"","",0,"","","",0,"",0,"",0,"",0,"","","",2,"",2,"","","",0,"",2,"",2,"","","","","","","","","","",""
CLIF_SIGPRO_RM_CONFIG1_REG,"","","","","",010CCC05,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",31,25,RESERVED,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",24,24,DYNAMIC_BPSK_TH_ENABLE,"","",1,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",23,21,BPSK_IQ_MODE,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",20,20,BPSK_FILT6,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",19,19,RESYNC_EQ_ON,"","",1,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",18,18,CORR_RESET_ON,"","",1,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",17,17,VALID_FILT_OFF,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",16,16,DATA_BEFORE_MIN,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",15,12,MIN_LEVEL,"","",C,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",11,8,MIN_LEVEL_P,"","",C,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
